format: 0, nTracks: 1, division: 480
controller - ch: 00, cont: #40, value: 58
controller - ch: 00, cont: #40, value: 60
note_off - ch:00,  note:3E,  vel:40 time:10
controller - ch: 00, cont: #40, value: 66
controller - ch: 00, cont: #40, value: 69
controller - ch: 00, cont: #4D, value: B0
controller - ch: 00, cont: #67, value: 13
controller - ch: 00, cont: #64, value: 13
controller - ch: 00, cont: #5C, value: 15
controller - ch: 00, cont: #50, value: 12
controller - ch: 00, cont: #42, value: 13
controller - ch: 00, cont: #33, value: 0E
controller - ch: 00, cont: #35, value: 07
controller - ch: 00, cont: #18, value: 0A
controller - ch: 00, cont: #43, value: 08
controller - ch: 00, cont: #00, value: 13
controller - ch: 00, cont: #2B, value: 40
note_off - ch:00,  note:3E,  vel:40 time:19
note_off - ch:00,  note:47,  vel:90 time:71
note_off - ch:00,  note:3E,  vel:1F time:64
note_off - ch:00,  note:40,  vel:40 time:64
note_off - ch:00,  note:6E,  vel:90 time:110
note_off - ch:00,  note:3A,  vel:00 time:59
note_off - ch:00,  note:3D,  vel:01 time:2113
note_off - ch:00,  note:3A,  vel:1A time:2098
note_off - ch:00,  note:41,  vel:40 time:65
note_off - ch:00,  note:3B,  vel:40 time:1
note_off - ch:00,  note:32,  vel:40 time:19
note_off - ch:00,  note:2C,  vel:90 time:44
note_off - ch:00,  note:3E,  vel:80 time:69
note_off - ch:00,  note:45,  vel:40 time:43
note_off - ch:00,  note:61,  vel:90 time:97
note_off - ch:00,  note:45,  vel:07 time:45
note_off - ch:00,  note:42,  vel:80 time:2115
note_off - ch:00,  note:2D,  vel:40 time:33
note_off - ch:00,  note:43,  vel:40 time:12
note_off - ch:00,  note:48,  vel:90 time:72
note_off - ch:00,  note:41,  vel:80 time:65
note_off - ch:00,  note:41,  vel:40 time:36
note_off - ch:00,  note:5C,  vel:90 time:92
note_off - ch:00,  note:44,  vel:0D time:64
note_off - ch:00,  note:36,  vel:05 time:2109
note_off - ch:00,  note:3D,  vel:1B time:2103
note_off - ch:00,  note:3D,  vel:40 time:61
note_off - ch:00,  note:37,  vel:40 time:8
note_off - ch:00,  note:40,  vel:40 time:3
note_off - ch:00,  note:2B,  vel:90 time:43
note_off - ch:00,  note:35,  vel:80 time:65
note_off - ch:00,  note:41,  vel:40 time:53
note_off - ch:00,  note:4B,  vel:B0 time:75
note_off - ch:00,  note:0B,  vel:14 time:64
note_off - ch:00,  note:2E,  vel:13 time:6208
note_off - ch:00,  note:3E,  vel:17 time:6208
note_off - ch:00,  note:3B,  vel:01 time:2110
note_off - ch:00,  note:44,  vel:01 time:6208
note_off - ch:00,  note:39,  vel:0C time:2086
note_off - ch:00,  note:4D,  vel:09 time:6208
note_off - ch:00,  note:3E,  vel:40 time:62
controller - ch: 00, cont: #40, value: 5B
note_off - ch:00,  note:26,  vel:40 time:9
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 78
controller - ch: 00, cont: #40, value: 56
note_on  - ch:00,  note:3E,  vel:3A time:23
controller - ch: 00, cont: #40, value: 40
note_on  - ch:00,  note:35,  vel:32 time:10
note_on  - ch:00,  note:32,  vel:34 time:1
note_on  - ch:00,  note:39,  vel:34 time:0
controller - ch: 00, cont: #40, value: 29
note_off - ch:00,  note:3E,  vel:40 time:15
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:35,  vel:40 time:6
note_off - ch:00,  note:39,  vel:40 time:1
note_off - ch:00,  note:32,  vel:40 time:8
note_on  - ch:00,  note:39,  vel:1F time:218
note_on  - ch:00,  note:67,  vel:90 time:103
note_off - ch:00,  note:27,  vel:40 time:50
note_on  - ch:00,  note:27,  vel:06 time:2101
note_on  - ch:00,  note:33,  vel:18 time:2110
note_on  - ch:00,  note:39,  vel:40 time:57
controller - ch: 00, cont: #40, value: 17
controller - ch: 00, cont: #40, value: 2F
controller - ch: 00, cont: #40, value: 3C
controller - ch: 00, cont: #40, value: 40
controller - ch: 00, cont: #40, value: 43
controller - ch: 00, cont: #40, value: 47
controller - ch: 00, cont: #40, value: 4E
controller - ch: 00, cont: #40, value: 59
note_off - ch:00,  note:35,  vel:40 time:1
controller - ch: 00, cont: #40, value: 6F
controller - ch: 00, cont: #40, value: 7F
note_off - ch:00,  note:3E,  vel:40 time:6
note_off - ch:00,  note:32,  vel:40 time:24
controller - ch: 00, cont: #40, value: 6C
controller - ch: 00, cont: #40, value: 5B
controller - ch: 00, cont: #40, value: 4B
controller - ch: 00, cont: #40, value: 3D
controller - ch: 00, cont: #40, value: 27
note_on  - ch:00,  note:26,  vel:3E time:3
note_on  - ch:00,  note:3E,  vel:40 time:12
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:26,  vel:40 time:28
note_off - ch:00,  note:3E,  vel:40 time:16
note_on  - ch:00,  note:40,  vel:3B time:132
note_off - ch:00,  note:40,  vel:40 time:29
note_off - ch:00,  note:63,  vel:90 time:99
note_off - ch:00,  note:43,  vel:12 time:65
note_off - ch:00,  note:3E,  vel:09 time:2101
note_off - ch:00,  note:38,  vel:0B time:2105
note_off - ch:00,  note:41,  vel:40 time:65
note_off - ch:00,  note:35,  vel:40 time:17
note_off - ch:00,  note:39,  vel:40 time:2
note_off - ch:00,  note:3F,  vel:90 time:63
note_off - ch:00,  note:42,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:46
note_off - ch:00,  note:4D,  vel:90 time:77
note_off - ch:00,  note:40,  vel:0F time:69
note_off - ch:00,  note:46,  vel:19 time:2086
note_off - ch:00,  note:45,  vel:40 time:69
note_off - ch:00,  note:26,  vel:40 time:7
note_off - ch:00,  note:52,  vel:90 time:82
note_off - ch:00,  note:45,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:40
note_off - ch:00,  note:5E,  vel:90 time:94
note_off - ch:00,  note:4A,  vel:01 time:62
note_off - ch:00,  note:3C,  vel:01 time:2103
note_off - ch:00,  note:3C,  vel:19 time:2107
note_off - ch:00,  note:3B,  vel:40 time:59
note_off - ch:00,  note:3E,  vel:40 time:8
note_off - ch:00,  note:37,  vel:40 time:1
note_off - ch:00,  note:40,  vel:90 time:64
note_off - ch:00,  note:42,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:59
note_off - ch:00,  note:45,  vel:B0 time:69
note_off - ch:00,  note:13,  vel:03 time:64
note_off - ch:00,  note:44,  vel:13 time:2117
note_off - ch:00,  note:42,  vel:01 time:2086
