format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:3C,  vel:40 time:61
note_on  - ch:00,  note:51,  vel:5D time:141
note_on  - ch:00,  note:34,  vel:3D time:0
note_off - ch:00,  note:34,  vel:40 time:40
note_off - ch:00,  note:51,  vel:40 time:73
note_on  - ch:00,  note:4F,  vel:57 time:0
note_off - ch:00,  note:4F,  vel:40 time:113
note_on  - ch:00,  note:4D,  vel:57 time:0
note_on  - ch:00,  note:40,  vel:3D time:0
note_off - ch:00,  note:40,  vel:40 time:94
note_off - ch:00,  note:4D,  vel:40 time:19
note_on  - ch:00,  note:4C,  vel:51 time:0
note_off - ch:00,  note:4C,  vel:40 time:113
note_on  - ch:00,  note:4A,  vel:43 time:0
note_on  - ch:00,  note:47,  vel:43 time:0
note_on  - ch:00,  note:37,  vel:31 time:0
note_on  - ch:00,  note:43,  vel:3E time:235
note_off - ch:00,  note:4A,  vel:40 time:26
note_off - ch:00,  note:47,  vel:40 time:0
note_off - ch:00,  note:37,  vel:40 time:207
note_off - ch:00,  note:43,  vel:40 time:1
note_on  - ch:00,  note:48,  vel:3E time:0
note_on  - ch:00,  note:4C,  vel:3E time:0
note_off - ch:00,  note:48,  vel:40 time:31
note_off - ch:00,  note:4C,  vel:40 time:0
note_on  - ch:00,  note:4A,  vel:3E time:185
note_on  - ch:00,  note:4D,  vel:3E time:0
note_off - ch:00,  note:4A,  vel:40 time:31
note_off - ch:00,  note:4D,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:3E time:186
note_on  - ch:00,  note:4F,  vel:44 time:0
note_on  - ch:00,  note:30,  vel:31 time:0
note_off - ch:00,  note:4C,  vel:40 time:34
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:30,  vel:40 time:12
note_on  - ch:00,  note:4C,  vel:3E time:191
note_on  - ch:00,  note:4F,  vel:44 time:0
note_on  - ch:00,  note:3C,  vel:31 time:0
note_off - ch:00,  note:4C,  vel:40 time:34
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:3C,  vel:40 time:12
note_on  - ch:00,  note:51,  vel:3C time:190
note_on  - ch:00,  note:34,  vel:31 time:0
note_off - ch:00,  note:34,  vel:40 time:46
note_off - ch:00,  note:51,  vel:40 time:72
note_on  - ch:00,  note:4F,  vel:3C time:1
note_off - ch:00,  note:4F,  vel:40 time:118
note_on  - ch:00,  note:4D,  vel:3C time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:40,  vel:40 time:46
note_off - ch:00,  note:4D,  vel:40 time:72
note_on  - ch:00,  note:4C,  vel:3C time:1
note_off - ch:00,  note:4C,  vel:40 time:94
note_on  - ch:00,  note:47,  vel:30 time:24
note_on  - ch:00,  note:4A,  vel:3C time:0
note_on  - ch:00,  note:37,  vel:31 time:0
note_off - ch:00,  note:47,  vel:40 time:466
note_off - ch:00,  note:37,  vel:40 time:0
note_off - ch:00,  note:4A,  vel:40 time:0
note_on  - ch:00,  note:45,  vel:47 time:0
note_on  - ch:00,  note:48,  vel:47 time:0
